SlNo,Barcode,Item Name,Size,Party Name,P.Price,S.Price,Qty,Amount,HSNCode,EAN CODE
1,1837,fancy box 8x8,,Purchase Account,45.00,75.00,15,675.00,,  
2,1839,FANCY BOX 9X9 (B),,Purchase Account,60.00,100.00,3,180.00,,  
3,1841,MIX MINT 150G,,prathamesh enterprise,138.27,200.00,14,1935.71,18069010,8906002482344
4,1842,SNICKERS MINIATURES 300G,,prathamesh enterprise,185.56,238.00,1,167.00,,8906002483082
5,1850,FANCY MATTAL GLASS TRAY,,Purchase Account,2900.00,3400.00,1,2246.57,,  
6,1851,QUALITY STREET 900G,,A ONE SANDEEP,820.00,1500.00,1,820.00,,7613031908370
7,1853,fancy paper bag w hanging.,,local purchase,15.00,30.00,8,120.00,,  
8,1854,paper cup,,Purchase Account,12.00,20.00,20,240.00,,  
9,1860,FANCY BOX 2P,,Purchase Account,99.00,140.00,11,1089.00,,  
10,1866,FANCY SLVER TRAY 10X12,,Purchase Account,150.00,300.00,1,150.00,,  
11,1869,glass hart bowil,,Purchase Account,50.00,100.00,2,97.72,,  
12,1874,fancy box 18x12,,Purchase Account,159.00,400.00,5,795.00,,  
13,1875,HERSHEYS COOKIES CREAM,,local purchase,260.00,450.00,1,260.00,,6942836713034
14,1881,FANCY BOX 15X10,,chheda super market,108.00,150.00,27,2916.00,,  
15,1884,FANCY BOX 12X12 4P BARK,,chheda super market,103.00,200.00,15,1545.00,,  
16,1885,FANCY BOX 10X15,,chheda super market,102.00,175.00,7,714.00,,  
17,1886,FANCY BOX 10X15 FLOWER,,chheda super market,120.00,200.00,4,480.00,,  
18,1888,fancy box 12x18 (110),,chheda super market,159.00,400.00,8,1272.00,,  
19,1891,FANCY BOX M 62,,chheda super market,63.00,100.00,8,504.00,,  
20,1892,FANCY BOX 4L M 64,,chheda super market,75.00,125.00,6,450.00,,  
21,1893,fancy box 9x9,,chheda super market,60.00,100.00,11,660.00,,  
22,1894,AJWA JUMBO,,APMC,1274.00,2750.00,9,11648.18,,  
23,1897,TRIDENT BUBBLEGAM,,A ONE SANDEEP,54.16,120.00,1,54.17,,012546615563
24,1899,HERSHEYS WHITE CHOLATE,,MAHAVIR,58.33,100.00,26,1516.59,,753854500089
25,1910,VOCHELLE DARK MILK,,MAHAVIR,40.00,70.00,5,200.00,,9556049000040
26,1921,WAFFER CRANCHY,,anandi bai,70.00,100.00,2,142.86,,9556390143335
27,1922,MULTIGRAIN CRACKERS,,anandi bai,116.00,165.00,12,1420.43,,9556390263330
28,1930,STARFUN,,m/s new royal,400.00,800.00,2,835.20,,  
29,1932,BISLERI 500ML,,AMAAN MARKETING,6.32,10.00,97,613.09,,8906017290033
30,1933,MAMARA JUMBO,,APMC,2254.00,4400.00,6,13560.06,,  
31,1934,GINGER SLICES,,m/s new royal,280.00,750.00,5,1298.92,,  
32,1936,BABY ORANGE SOFT,,APMC,392.00,750.00,8,3279.86,,  
33,1942,MALLOW CANDY 160G,,A ONE SANDEEP,47.00,80.00,9,423.00,,6921667863484
34,1944,DAVIDOFF CAFE,,local purchase,320.00,550.00,2,640.04,0901,4006067084300
35,1949,POTTATO MIX,,m/s new royal,440.00,700.00,4,1813.24,,  
36,1950,DELIGHT DATES IRAN,,Purchase Account,180.00,375.00,0,0.72,,  
37,1957,LINDT 99% CACAO,,local purchase,240.00,350.00,6,1440.00,,3046920028721
38,1959,LINDT CHILLI 100G,,local purchase,190.00,330.00,5,950.00,,7610400070577
39,1960,LINDT BLUEBERRY INTENSE,,MAHAVIR,180.00,300.00,2,360.00,,3046920029452
40,1961,LINDT 85% COCOA,,A ONE SANDEEP,185.00,330.00,3,555.03,,3046920028363
41,1964,PEACH DRY,,m/s new royal,550.00,980.00,0,1.10,,  
42,1965,HONEY ALMOND,,m/s new royal,900.00,1500.00,5,4249.80,,  
43,1966,CASHEW  R SALT,,m/s new royal,1000.00,1500.00,8,8445.00,,  
44,1972,FANCY TRY GLASS,,Cash,2498.43,3100.00,1,2498.43,,  
45,1973,FANCY BOX W CHO300G,,Cash,250.00,400.00,1,250.00,,  
46,1978,FOX PASSION MINTS 125G,,MAHAVIR,50.00,75.00,3,150.01,,8992696416598
47,1979,fox sqring tea,,jublee,50.00,75.00,5,250.00,,`8992696421646
48,1983,TIM TAM STRABERRY,,jublee,100.00,140.00,1,100.00,,8886015433123
49,1985,TIM TAM VANILA,,jublee,90.00,120.00,1,90.00,,8886015427139
50,1986,OREO STRAWBERRY,,MAHAVIR,50.00,90.00,1,50.00,,7622300136055
51,1989,OREO  BISKUIT,,MAHAVIR,50.00,90.00,8,400.02,,8992760221028
52,1990,OREO DELIGHT,,MAHAVIR,50.00,90.00,1,50.00,,8992760121090
53,1996,MABROOM DATES BIG,,APMC,644.00,1200.00,3,2221.80,,  
54,1998,MARS MINIATURES 150G,,prathamesh enterprise,111.74,149.00,3,301.72,1806,4011100023710
55,1999,BOUNTY MINIATURES 150G,,prathamesh enterprise,111.74,149.00,11,1106.29,1806,4011100023925
56,2000,GALAXY HOME PACK,,prathamesh enterprise,56.25,75.00,10,506.28,18069010,8906002481606
57,2001,GALAXY S M 40G,,prathamesh enterprise,30.00,40.00,31,837.05,1806,6221134001068
58,2020,M&M CHOCOLATE 45G,,jublee,31.25,80.00,8,250.01,,40111490
59,2021,PINNUTS PLAIN,,m/s new royal,2500.00,3000.00,1,2500.00,,  
60,2027,CHO CHO CHOCOLATE MEISES,,jublee,29.00,45.00,6,174.00,,8992952951054
61,2028,CHO CHO STRAWABARRY,,jublee,29.00,45.00,3,87.00,,8992952924461
62,2030,OREO MINI STAWBURRY,,A ONE SANDEEP,80.00,130.00,5,399.97,,7622210462534
63,2031,GALAXY SM 19.1G,,prathamesh enterprise,15.00,20.00,69,931.46,1806,6221134003048
64,2032,CHO 700 Kgs,,yumm fresh,350.00,700.00,16,6401.20,,  
65,2035,CADBURY DRINGING CHOCOLATE,,A ONE SANDEEP,150.00,260.00,5,750.04,,5000312000670
66,2037,voCHELL ALMONDS,,MAHAVIR,40.00,70.00,26,1040.00,,9556049000026
67,2042,cadbury old gold original,,local purchase,350.00,480.00,2,700.00,,9300617041153
68,2046,LOLLIPOP RockNcandy15G,,local purchase,8.12,15.00,64,519.71,,82805662208696
69,2050,RAGU TRADITIONAL 396G,,MAHAVIR,180.00,250.00,2,334.75,,036200005804
70,2051,RAGU PIZZA SAUCE 397G,,MAHAVIR,150.00,230.00,3,418.43,,036200005507
71,2055,MENTOOS MINT 37G,,local purchase,16.25,25.00,7,113.76,,8990800100012
72,2059,SAFFRON SPAIN 1GM,,local purchase,280.00,450.00,7,1960.00,,  
73,2061,pvc pouch baby,,Packing Materials,12.00,20.00,14,168.00,,  
74,2062,pvc pouch,,local purchase,15.00,20.00,256,3328.00,,  
75,2064,Saffron 1/2 Gm,,APMC,80.00,199.00,16,1280.00,,8908002180305
76,2065,nutelLA  FERRERO 180g,,A ONE SANDEEP,165.00,240.00,8,1320.06,,80177425
77,2088,CHOCOLATE DATE ALMONDS 140G,,jublee,65.00,140.00,11,715.00,,  
78,2091,KHAJOOR DRY FRUITS ROLL 250G,,m/s new royal,150.00,210.00,2,300.00,,  
79,2098,HARVEYS PENUT BUTTER,,MAHAVIR,80.00,140.00,1,80.00,,8906037694705
80,2099,HARVEYS CRUNCHY,,MAHAVIR,80.00,140.00,1,80.00,,8906037694712
81,2100,SOUR PUNK TAMARIND,,local purchase,20.41,30.00,9,183.70,,8850632607663
82,2104,PRINGLES SALT VINEGAR,,A ONE SANDEEP,108.00,170.00,5,540.03,,038000844997
83,2107,ROST MUKAVAS,,MUKHWASH,250.00,400.00,5,1309.50,,  
84,2108,JANTA MUKAVAS,,MUKHWASH,155.00,300.00,6,859.94,,  
85,2110,VEGA RICA NON ALCOHOLIC WINE,,A ONE SANDEEP,210.00,320.00,1,210.00,,8432286006131
86,2111,GLASS BOWL,,local purchase,120.00,200.00,2,234.53,,  
87,2112,GLASS BOWL S,,local purchase,83.33,150.00,2,162.87,,  
88,2113,GLASS LEAF,,local purchase,50.00,100.00,3,146.58,,  
89,2145,KERK VEGTABLE DELUXF CRACKERS,,MAHAVIR,110.00,145.00,10,1100.02,,9556085318734
90,2146,KERK ORIGINAL DELUXE CRACKERS,,MAHAVIR,110.00,145.00,10,1100.01,,9556085555733
91,2147,KERK KRAKER KEJU DELUXE,,A ONE SANDEEP,125.00,199.00,3,375.02,,9556085794828
92,2148,KERK DELUXE PEANUT BUTTER,,MAHAVIR,130.00,199.00,4,520.03,,9556085792923
93,2155,POTATO MSALA STICK,,APMC,150.00,300.00,0,0.30,,  
94,2157,SCHEZWAN PASTA STICK,,APMC,120.00,200.00,4,424.82,,  
95,2158,MASALA WAFERS,,APMC,120.00,250.00,3,387.36,,  
96,2163,CEVEL CHOCOLATE,,APMC,320.00,600.00,1,428.82,,  
97,2164,JELLY CANDY,,m/s new royal,60.00,100.00,9,540.00,,  
98,2171,HERSHEYS SYRUP CARAMEL 623G,,A ONE SANDEEP,160.00,200.00,3,479.96,,8901071211192
99,2172,GWB 4PG 8X8,,renz,150.00,200.00,33,4975.34,,  
100,2173,FB 4LG,,renz,45.00,80.00,38,1718.76,,  
